airportName,airporCity,airportCountryCode,airportContinent,airporElevation
Puerto Berrio Airport,Puerto Berrio,CO,SA,445
Casa De Campo International Airport,La Romana,DO,NA,240
Mano Dayak International Airport,Agadez,NE,AF,1657
Umiat Airport,Umiat,US,NA,267
Rolpa Airport,Rolpa,NP,AS,4100
Magaruque Airport,Magaruque Island,MZ,AF,20
Portland Hillsboro Airport,Portland,US,NA,208
Bo Airport,Bo,SL,AF,328
Malolo Lailai Island Airport,Malolo Lailai Island,FJ,OC,10
Abresso Airport,Ransiki-Papua Island,ID,AS,52
Zhob Airport,Fort Sandeman,PK,AS,4728
Gurney Airport,Gurney,PG,OC,88
Peter O Knight Airport,Tampa,US,NA,8
Stillwater Regional Airport,Stillwater,US,NA,1000
Dubrovnik Airport,Dubrovnik,HR,EU,527
Diagoras Airport,Rodes Island,GR,EU,17
Chişinău International Airport,Chişinău,MD,EU,399
Buffalo Niagara International Airport,Buffalo,US,NA,728
Mount Etjo Airport,Mount Etjo Safari Lodge,NA,AF,5000
Queen Beatrix International Airport,Oranjestad,AW,NA,60
Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,CA,NA,121
Nicholson Airport,,AU,OC,
Chignik Lagoon Airport,Chignik Flats,US,NA,25
Tougan Airport,Tougan,BF,AF,984
Mianyang Airport,Mianyang,CN,AS,
Plymouth Municipal Airport,Plymouth,US,NA,148
Wajir Airport,Wajir,KE,AF,770
Ganja Airport,Ganja,AZ,AS,1083
Santa Cruz do Sul Airport,Santa Cruz Do Sul,BR,SA,646
La Sarre Airport,La Sarre,CA,NA,1048
Zonalnoye Airport,Tymovskoye,RU,AS,479
RAF Northolt,London,GB,EU,124
Shaoyang Wugang Airport,Shaoyang,CN,AS,1444
Wollaston Lake Airport,Wollaston Lake,CA,NA,1360
Carriel Sur Airport,Concepcion,CL,SA,26
West Sale Airport,Sale,AU,OC,72
Fort Lauderdale Executive Airport,Fort Lauderdale,US,NA,13
Figari Sud-Corse Airport,Figari Sud-Corse,FR,EU,87
Saint Louis Airport,Saint Louis,SN,AF,9
Åre Östersund Airport,Östersund,SE,EU,1233
Laoag International Airport,Laoag City,PH,AS,25
Tusi AHP (Hunter Liggett) Heliport,Fort Hunter Ligget Jolon,US,NA,1017
W H 'Bud' Barron Airport,Dublin,US,NA,309
Hog River Airport,Hogatza,US,NA,534
"Foggia ""Gino Lisa"" Airport",Foggia,IT,EU,265
Aroa Airport,Agevairu,PG,OC,20
Platinum Airport,Platinum,US,NA,15
Regional Orlando Villas Boas Airport,Matupá,BR,SA,886
Potchefstroom Airport,Potchefstroom,ZA,AF,4520
Bayannur Tianjitai Airport,Bavannur,CN,AS,3400
Proserpine Whitsunday Coast Airport,Proserpine,AU,OC,82
Kansas City International Airport,Kansas City,US,NA,1026
Marsa Alam International Airport,Marsa Alam,EG,AF,251
Indira Gandhi International Airport,New Delhi,IN,AS,777
Torsby Airport,,SE,EU,393
Tasiujaq Airport,Tasiujaq,CA,NA,122
Isla de Tigre  Heliport,Isla de Tigre,VE,SA,20
Godman Army Air Field,Fort Knox,US,NA,756
Namibe Airport,Namibe,AO,AF,210
Grímsey Airport,Grímsey,IS,EU,66
Villa Constitución Airport,Ciudad Constitución,MX,NA,175
Ganges Seaplane Base,Salt Spring Island,CA,NA,0
Eskişehir Air Base,,TR,AS,2581
Trunojoyo Airport,Sumenep-Madura Island,ID,AS,10
Diebougou Airport,Diebougou,BF,AF,984
Lelystad Airport,Lelystad,NL,EU,-13
Rabi Island Airport,Rabi Island,FJ,OC,88
Kili Airport,Kili Island,MH,OC,5
Asaba International Airport,Asaba,NG,AF,305
Ostend-Bruges International Airport,Ostend,BE,EU,13
Karubaga Airport,Karubaga-Papua Island,ID,AS,5200
Coposa Airport,Pica,CL,SA,12468
Yancheng Airport,Yancheng,CN,AS,
Black Tickle Airport,Black Tickle,CA,NA,57
Limon International Airport,Puerto Limon,CR,NA,7
Santa Elena de Uairen Airport,,VE,SA,2938
CFB Cold Lake,Cold Lake,CA,NA,1775
Kish International Airport,Kish Island,IR,AS,101
Nikolai Airport,Nikolai,US,NA,441
Caia Airport,Caia,MZ,AF,156
Fulleborn Airport,Fulleborn,PG,OC,36
Moanamani Airport,Moanamani-Papua Island,ID,AS,5204
Mianyang Airport,Mianyang,CN,AS,
